Recipient Parent Name,Recipient Parent Duns,Top Words From Serv Desc,Number Of Prime Awards,Current Total Value Of Awards Usd,Potential Total Value Of Awards Usd,Remaining Total Value Of Awards Usd,Award Id Piids,First Contract Start Date,Last Contract End Date,Recipient Address Line 1,Recipient Address Line 2,Recipient City Name,Recipient State Code,Recipient State Name,Recipient Zip 4 Code,Recipient Congressional District,Recipient Phone Number,Recipient Fax Number,Analysis Date,Raw Data Download Date
SCIF SOLUTIONS  INC.,169942591,"prefabricated, portable, buildings",3,785.85 K,785.85 K,0.0,"HSCEMD17P00134, HSCEMD17P00047, HSCEMD17P00003",2017-09-28,2018-03-27,11518 NORMANDY BLVD,,JACKSONVILLE,FL,FLORIDA,322211811,05,9042980631,9042120871,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ARDENT MANAGEMENT CONSULTING  INC.,617942987,"support, professional:, program, management, telecom",2,768.61 K,1.36 M,589297.6000000001,"HSCEMD16J00030, HSCEMD12F00098",2017-01-11,2020-03-14,1840 MICHAEL FARADAY DR STE 120,,RESTON,VA,VIRGINIA,201905338,11,7039648010,7039917595,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
RED RIVER COMPUTER CO.  INC.,933678708.0,"information, technology, components, support, equipment",9,762.51 K,762.51 K,0.0,"HSCEMD17J00107, HSCETE17J00366, HSCETE17J00440, HSCEMD17J00064, HSCEMD16J00058, HSCEMD17J00154, HSCEMD17J00057, HSCETE16J00408, HSCETC16J00031",2016-06-20,2020-01-07,21 WATER ST STE 500,,CLAREMONT,NH,NEW HAMPSHIRE,037432216,02,6034488880,6034488844,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GOVERNMENT OF THE UNITED STATES,161906193.0,"office, furniture, toiletry, personal, articles",98,753.30 K,753.30 K,0.0,"70CDCR18P00000174, 70CDCR18P00000147, 70CDCR18P00000113, 70CDCR18P00000123, HSCEDM15P00130, 70CDCR18P00000091, 70CDCR18P00000067, 70CDCR18P00000065, 70CDCR18P00000068, 70CDCR18P00000044, 70CDCR18P00000038, 70CDCR18P00000024, 70CDCR18P00000032, 70CDCR18P00000005, 70CDCR18P00000007, 70CDCR18P00000011, 70CDCR18P00000004, HSCEDM17P00083, HSCEMD17P00075, HSCEDM17P00090, HSCEDM17P00081, HSCEDM17P00075, HSCEDM17P00037, HSCEDM17P00041, HSCEDM17P00022, HSCEDM17P00024, HSCEDM17P00002, HSCEDM16P00123, HSCEDM16P00114, HSCEDM16P00108, HSCEDM16P00115, HSCEDM16P00069, HSCEDM16P00067, HSCEDM16P00037, HSCEDM16P00041, HSCEDM16P00009, HSCEDM16P00010, HSCEDM16P00005, HSCEDM16P00004, HSCEDM15P00112, HSCEDM15P00161, HSCEMD15P00105, HSCEDM15P00149, HSCEMR15P00024, HSCEDM15P00120, HSCEDM15P00122, HSCEDM15P00083, HSCEDM15P00078, HSCEDM15P00063, HSCEDM15P00044, HSCEDM15P00051, HSCEDM15P00043, HSCEDM15P00036, HSCECR14P00045, HSCEMR11F00060, HSCEMR14P00027, HSCECR14P00010, HSCENV09P00013, HSCECR13P00015, HSCEMD08P00146, HSCEMD09P00210, HSCEMR12P00023, HSCEMR12F00073, HSCECR08P00140, HSCEMR12F00024, HSCEDM08P00238, HSCEMD11P00251, HSCECR08P00054, HSCEMR10F00041, HSCEDM08P00135, HSCEMD11P00236, HSCEMD09P00100, HSCECR11P00088, HSCECR11P00037, HSCECR11P00028, HSCEMR11P00010, HSCEMR11P00009, HSCEMR10F00040, HSCEMR10F00035, HSCECR10P00104, HSCEMD09P00199, HSCEMD09P00220, HSCENV09P00073, HSCEMD09P00054, HSCENV08P00294, HSCEMD08P00263, HSCEMD08P00217, HSCEMS08P00032, HSCECR08P00146, HSCEMD08P00106, HSCENV08P00215, HSCEDM08P00145, HSCECR08P00058, HSCECR08P00031, HSCEDM08P00149, HSCEOP07P01528, HSCEOP07P00603, HSCECR08P00056",2010-05-24,2018-10-09,320 FIRST ST N W FINANCIAL MANAGEMENT BRANCH 8TH FL,,WASHINGTON,DC,DISTRICT OF COLUMBIA,205340001,00,8008273168,8592549692,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ST NET-APPTIS FIRSTSOURCE JOINT VENTURE,615381907.0,"adp, components, equipment, support, input",163,733.09 K,733.09 K,0.0,"HSCETE12J00260, HSCETE12J00149, HSCEMS10J00011, HSCETE12J00169, HSCETE09J00550, HSCETE10J00057, HSCETE09J00525, HSCETE09J00491, HSCETE09J00297, HSCETE09J00347, HSCETE09J00320, HSCETE10J00015, HSCETE08J00482, HSCETE08J00464, HSCETE12J00351, HSCETE08J00499, HSCETE08J00160, HSCETE08J00511, HSCETE08J00510, HSCETE10J00288, HSCETE11J00515, HSCETE10J00719, HSCETE11J00625, HSCETE10J00644, HSCETE11J00569, HSCETE11J00547, HSCEMR12J00011, HSCETE11J00527, HSCETE11J00266, HSCETE11J00298, HSCETE11J00513, HSCETE11J00634, HSCETE08J00446, HSCETE08J00029, HSCETC08J00076, HSCETE11J00159, HSCETE11J00069, HSCETE11J00020, HSCETE10J00336, HSCETE11J00450, HSCEMS10J00014, HSCETE11J00012, HSCETE10J00677, HSCETE11J00371, HSCETE11J00649, HSCETE11J00631, HSCETE11J00627, HSCETE11J00620, HSCETE11J00612, HSCETE11J00497, HSCETE11J00604, HSCETE11J00595, HSCETE11J00338, HSCETE11J00509, HSCETE11J00543, HSCETE11J00555, HSCETE11J00531, HSCETE11J00523, HSCETE11J00525, HSCETE11J00481, HSCETE11J00489, HSCETE11J00483, HSCETE11J00458, HSCETE11J00432, HSCETE11J00436, HSCETE11J00433, HSCETE11J00594, HSCETE11J00002, HSCETE11J00300, HSCETE10J00315, HSCETE11J00488, HSCETE11J00438, HSCETE11J00395, HSCETE11J00379, HSCETE11J00376, HSCETE11J00324, HSCETE11J00372, HSCETE11J00279, HSCETE11J00358, HSCETE11J00541, HSCETE11J00351, HSCETE11J00353, HSCETE11J00316, HSCETE11J00337, HSCETE11J00350, HSCETE11J00313, HSCETE11J00296, HSCECR11J00022, HSCETE11J00307, HSCETE11J00297, HSCETE11J00231, HSCETE11J00267, HSCETE11J00269, HSCETE11J00240, HSCETE11J00246, HSCETE11J00232, HSCETE11J00233, HSCETE11J00195, HSCEMD11J00045, HSCETE11J00162, HSCETE11J00133, HSCETE11J00109, HSCETE11J00092, HSCETE11J00085, HSCETE11J00080, HSCETE09J00273, HSCEMS10J00022, HSCETE11J00038, HSCETE11J00023, HSCETE08J00168, HSCETE08J00178, HSCETE11J00016, HSCETE09J00112, HSCETE10J00675, HSCETE10J00671, HSCETE09J00324, HSCETE09J00101, HSCETE09J00290, HSCETE09J00040, HSCETE09J00597, HSCETE10J00634, HSCETE10J00616, HSCETE10J00615, HSCETE10J00453, HSCETE08J00031, HSCETE08J00043, HSCETE08J00069, HSCETE08J00052, HSCETE09J00196, HSCETE09J00586, HSCETE09J00569, HSCETC08J00100, HSCETC08J00085, HSCETC08J00086, HSCETC08J00087, HSCETC08J00078, HSCETE09J00484, HSCETC08J00043, HSCETE09J00410, HSCETC09J00006, HSCETE09J00067, HSCETE09J00049, HSCETE08J00435, HSCETE08J00496, HSCEMS08J00067, HSCETC08J00098, HSCETE08J00452, HSCETE08J00426, HSCETE08J00388, HSCETE08J00350, HSCETE08J00278, HSCETE08J00274, HSCETE08J00264, HSCETE08J00241, HSCETE08J00236, HSCETE08J00228, HSCETE08J00164, HSCETE08J00132, HSCETE08J00117, HSCETE08J00123, HSCETE08J00071, HSCETE08J00084, HSCETE08J00015",2010-04-20,2015-07-02,14155 NEWBROOK DR,,CHANTILLY,VA,,201512293,VA10,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PREFERRED MEAL SYSTEMS  INC.,896443686,"housekeeping, food",2,732.98 K,732.98 K,0.0,"70CDCR18FC0000010, 70CDCR18A00000005",2018-10-23,2019-03-31,5240 ST CHARLES RD,,BERKELEY,IL,ILLINOIS,601630000,,7086179933,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
BROMBERG & ASSOCIATES  LLC,949053185,"support, administrative:, translation, interpreting",1,726.00 K,726.00 K,0.0,HSCEDM14F00057,2018-06-28,2019-08-31,3141 CANIFF ST,,DETROIT,MI,MICHIGAN,482123698,14,3138710080,8552253100,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
BISHOP & ASSOCIATES  INC.,192060796,"housekeeping, facilities, operations, support",1,725.25 K,725.25 K,0.0,HSCESS08C00003,2018-05-25,2014-03-31,1613 BUSH ST,,BALTIMORE,MD,MARYLAND,212302020,03,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FEDERAL FACILITATORS GROUP LLC,119969970.0,"support, professional:, human, resources, management:",27,717.39 K,717.39 K,0.0,"HSCEMS16F00006, HSCEMS14F00007, HSCEMS15F00035, HSCEMS15F00018, HSCEMS17F00002, HSCEMS16F00016, HSCEMS15F00066, HSCEMS15F00010, HSCEMS15F00004, HSCEMS12F00003, HSCEMS13F00084, HSCEMS13F00024, HSCEMS11F00041, HSCEMS11F00007, HSCEMD10F00013, HSCEMD08FCL00017, HSCEMS12F00020, HSCEMS11F00005, HSCEMS11F00038, HSCEMD09F00114, HSCEMD09F00083, HSCEMD08FCL00022, HSCEOP06FCL0013, HSCEOP07FCL0010, HSCEOP07FCL0022, HSCEOP07FCL0004, HSCEMS13A00013",2011-06-30,2018-09-24,904 SKIMMER BAY BEND,,MYRTLE BEACH,SC,SOUTH CAROLINA,295725737,07,7046748281,7039319572,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FOSTER & FREEMAN LTD.,226012417,"laboratory, equipment, supplies, information, technology",7,698.05 K,698.05 K,0.0,"70CMSD18P00000176, 70CMSD18P00000172, 70CMSD18P00000135, HSCEMD17P00094, HSCEMD17P00077, HSCEMD14P00093, HSCEMD13P00137",2016-05-17,2018-12-05,46030 MANEKIN PLAZA SUITE 170,,STERLING,VA,VIRGINIA,201666518,10,8884455048,8884455049,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FEENEY WIRELESS  LLC,080483434,"equipment, miscellaneous, communication, information, technology",10,694.58 K,917.78 K,223200.0,"HSCETC16P00006, HSCEMD16P00080, HSCETE16C00001, HSCEMD16P00104, HSCEMD16P00072, HSCEMD16P00023, HSCEMD16P00022, HSCEMD13P00124, HSCEMD11P00258, HSCEMD11P00182",2016-05-24,2020-09-26,1505 WESTEC DRIVE,,EUGENE,OR,OREGON,974022916,04,5416859045,5412840030,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ALASKA NATIVE GOVERNMENT SERVICES LLC,144280943,"information, technology, software, support, equipment",2,689.60 K,1.11 M,415910.0,"70CTD018P00000030, HSCETE17P00051",2018-02-06,2020-09-11,1577 C ST STE 201,,ANCHORAGE,AK,ALASKA,995015164,00,7032342013,7032349040,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
WILDFLOWER INTERNATIONAL  LTD.,619719693,"adp, components, equipment, support, information",173,684.03 K,1.14 M,455721.76000000024,"70CTD018FR0000010, HSCETE16J00044, HSCETE17J00026, HSCETC13J00188, HSCEMD17J00058, HSCETC15J00011, HSCEMD17J00037, HSCEMD17J00042, HSCETC16J00007, HSCETC13J00059, HSCETE15J00052, HSCETE15J00029, HSCETE15J00260, HSCETE15J00150, HSCETE15J00118, HSCETE12J00451, HSCETE09J00470, HSCETE10J00056, HSCETE09J00492, HSCETE09J00286, HSCETE09J00501, HSCETE09J00507, HSCETE09J00522, HSCETE09J00293, HSCETE09J00307, HSCETE09J00368, HSCETE09J00356, HSCETE09J00260, HSCETE09J00449, HSCETE09J00225, HSCETE09J00252, HSCETE09J00215, HSCETE09J00244, HSCETE09J00517, HSCETE09J00262, HSCETE09J00543, HSCETE09J00493, HSCETE09J00422, HSCETE09J00383, HSCETE09J00138, HSCETE09J00106, HSCETE09J00097, HSCETE09J00530, HSCETE09J00381, HSCETE09J00555, HSCETE09J00378, HSCETE08J00188, HSCETE08J00159, HSCETE08J00155, HSCETE08J00058, HSCETE09J00007, HSCETE08J00403, HSCETE08J00405, HSCETE08J00182, HSCETE10J00430, HSCETE10J00477, HSCETE11J00524, HSCETE11J00532, HSCETE11J00331, HSCETE08J00077, HSCETE11J00491, HSCETE11J00117, HSCETE09J00563, HSCETE11J00072, HSCETE11J00073, HSCETE11J00635, HSCETE11J00633, HSCETE11J00621, HSCETE11J00575, HSCETE11J00556, HSCETE11J00502, HSCETE11J00540, HSCETE11J00490, HSCETE11J00369, HSCETE11J00370, HSCETE11J00312, HSCETE11J00333, HSCETE11J00332, HSCETE11J00268, HSCETE11J00222, HSCETE11J00083, HSCETE09J00322, HSCETE09J00312, HSCETE09J00232, HSCETE09J00235, HSCETE09J00171, HSCETE09J00230, HSCETE11J00056, HSCETE11J00050, HSCETE11J00046, HSCETE08J00053, HSCETE11J00034, HSCETE11J00022, HSCETE08J00172, HSCETE08J00121, HSCETE08J00101, HSCETE08J00180, HSCETE09J00010, HSCETE09J00028, HSCETE09J00016, HSCETE08J00486, HSCETE09J00090, HSCETE09J00091, HSCETE09J00551, HSCETE09J00539, HSCETE09J00396, HSCETE09J00392, HSCETE09J00326, HSCETE09J00354, HSCETE09J00211, HSCETE10J00639, HSCETE09J00590, HSCETE09J00256, HSCETE10J00680, HSCETE10J00646, HSCETE10J00660, HSCETE10J00635, HSCETE09J00044, HSCETE09J00026, HSCETE09J00209, HSCETE09J00012, HSCETE09J00208, HSCETE10J00429, HSCETE10J00170, HSCETE09J00553, HSCETE10J00152, HSCETE09J00266, HSCETE10J00162, HSCETE10J00014, HSCETE10J00060, HSCETE09J00609, HSCETE09J00605, HSCETE09J00004, HSCETE09J00481, HSCETE09J00486, HSCETE09J00487, HSCETE09J00459, HSCETE09J00466, HSCETE09J00405, HSCETE09J00183, HSCETE09J00123, HSCETE09J00062, HSCETE09J00023, HSCETC08J00072, HSCETE08J00476, HSCETE08J00439, HSCETE08J00436, HSCETE08J00420, HSCETE08J00419, HSCETE08J00415, HSCETE08J00414, HSCETE08J00371, HSCETE08J00393, HSCETE08J00265, HSCETE08J00277, HSCETE08J00221, HSCETE08J00223, HSCETE08J00213, HSCETE08J00212, HSCETE08J00217, HSCETE08J00200, HSCETE08J00201, HSCETE08J00185, HSCETE08J00183, HSCETE08J00163, HSCETE08J00147, HSCETE08J00148, HSCETE08J00144, HSCETE08J00145, HSCETE08J00070, HSCETE08J00064, HSCETE08J00072, HSCETE08J00042",2010-03-24,2020-09-15,1500 S SAINT FRANCIS DR,,SANTA FE,NM,NEW MEXICO,875054040,03,5054669111,5054669100,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DENTRUST DENTAL INTERNATIONAL  INC.,964551386,"medical, evaluation, screening",3,665.63 K,76.45 M,75784529.92,"70CMSD18FR0000018, HSCEMD17P00022, 70CMSD18D00000001",2017-03-29,2019-04-29,6097 EASTON RD,,PIPERSVILLE,PA,PENNSYLVANIA,189471810,08,2679275000,2679275007,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
THERMO FISHER SCIENTIFIC INC.,1408673.0,"chemical, analysis, instruments, vitro, diagnostic",19,629.80 K,629.80 K,0.0,"70CMSD18FR0000064, 70CMSD18FR0000245, 70CMSD18FR0000148, 70CMSD18FR0000172, 70CMSD18FR0000025, HSCEMD17F00137, HSCEMD17F00117, HSCEMD17F00046, HSCEMD17F00007, HSCEMD17F00112, HSCEMD17F00078, HSCEMS17F00016, HSCEMD17F00030, HSCEMD16F00058, HSCEMD16F00122, HSCEMD16F00077, HSCEMD15F00046, HSCENV08F00165, HSCEMD10P00235",2012-10-22,2018-10-23,2 RADCLIFF RD,,TEWKSBURY,MA,MASSACHUSETTS,018761182,06,9786575555,9786575921,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
EMS SAFETY SERVICES INC,878854504,"education, training, lectures",1,624.00 K,3.55 M,2922000.0,HSCEMD16F00134,2017-11-17,2021-09-28,1046 CALLE RECODO STE K,,SAN CLEMENTE,CA,CALIFORNIA,926736261,49,8002159555,9493882776,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
"LYME COMPUTER SYSTEMS, INC.",144763067.0,"adp, software, miscellaneous, office, machines",3,621.37 K,621.37 K,0.0,"HSCETE15F00053, HSCEMD17P00104, HSCETE08F00031",2010-03-25,2018-07-19,1 LYME CMN,,LYME,NH,NEW HAMPSHIRE,03768,,6036763600,6037954800,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
BLUELINE TACTICAL AND POLICE SUPPLY  LLC,057900928,"lease, rental, equipment, training, aids",1,618.76 K,785.22 K,166462.75,HSCEDM15P00134,2018-09-30,2020-09-29,444 SAW MILL RIVER RD,,ELMSFORD,NY,NEW YORK,105231030,17,9145608431,9147408139,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
A2Z SUPPLY CORP,808414531.0,"ammunition,, 30mm, miscellaneous, ammunition, 75mm",20,617.26 K,617.26 K,0.0,"HSCEMS17P00083, HSCEMS17P00104, HSCEMS17F00050, HSCEMS17F00046, HSCEMS17P00093, HSCEMS17P00047, HSCEMS17P00025, HSCEMS17F00023, HSCEMS17P00004, HSCEMS17P00002, HSCEMS16P00066, HSCEMS16P00065, HSCEMS16P00062, HSCEMS16P00048, HSCEMS16P00069, HSCEMS16P00023, HSCEMS15F00057, HSCEMS14P00006, HSCEMS12P00024, HSCEMS11P00049",2011-08-18,2018-01-20,302 MAIN ST,,STEVENSVILLE,MT,MONTANA,598702530,00,4067771988,4067771990,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
RESURGENS RISK MANAGEMENT  INC.,845109339,"operation, office, buildings, social, non",4,614.22 K,1.08 M,460800.0,"70CMSD18P00000098, HSCEMD13P00072, HSCENV08P00242, HSCENV09P00085",2011-10-05,2023-06-30,1170 PEACHTREE ST NE STE 1200,,ATLANTA,GA,GEORGIA,303617673,,4048731561,4048731574,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ONE STOP ENVIRONMENTAL LLC,806933284,"housekeeping, waste, treatment, storage",1,606.00 K,606.00 K,0.0,HSCECR13C00003,2018-11-13,2019-03-15,4800 DIVISION AVE,,BIRMINGHAM,AL,ALABAMA,352221612,07,2055958188,2055958901,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SIMPLE TECHNOLOGY SOLUTIONS  INC.,079197169,"hand, tools,, nonedged,, nonpowered",1,605.66 K,605.66 K,0.0,HSCEMD17P00101,2018-10-24,2018-03-05,1775 I ST NW SUITE 1150,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200062435,00,4107468313,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
FIRELAKE CONSTRUCTION  INC.,966127768,"qc, test, inspect, water, purification",1,602.76 K,1.08 M,480511.68000000005,HSCEMS17C00002,2018-09-11,2021-09-30,14217 W 95TH ST,,LENEXA,KS,KANSAS,662155208,03,9133129540,9133129545,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
JASPER SAWYER COMPANY L.L.C,969820914,"food,, oils, fats, sets,, kits,",5,593.97 K,4.40 M,3808151.7999999993,"HSCEDM16J00037, HSCEDM15J00035, HSCEDM14J00032, HSCEDM12P00078, HSCEDM12D00011",2014-02-03,2018-03-31,5601 HOLLOW OAK RD,,ORLANDO,FL,FLORIDA,328083413,10,4079005547,3217656437,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SPRINT COMMUNICATIONS COMPANY L.P.,690651989.0,"support, professional:, communications, telecom, telecommunications",24,587.93 K,602.45 K,14518.79999999993,"HSCEMS17F00004, HSCEMS16F00001, HSCETE14F00085, HSCETE14F00081, HSCETE13F00042, HSCETE14F00041, HSCETE13F00109, HSCETE13J00037, HSCETE13F00081, HSCETE12J00051, HSCETE13J00031, HSCETE10J00321, HSCETE12J00078, HSCETE11J00462, HSCETE12J00234, HSCETE12F00169, HSCETE13F00017, HSCETE13F00023, HSCETE11J00055, HSCENV09P00044, HSCETE13F00016, HSCETE12J00052, HSCETE09J00447, HSCETE09J00570",2013-12-02,2020-11-30,12524 SUNRISE VALLEY DR FL 2,,RESTON,VA,VIRGINIA,201913438,11,7034334223,7034338798,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
QUALITY COAST INCORPORATED,791120124,"food, special, composite, packages, services",14,586.49 K,2.23 M,1639643.6,"70CDCR18FR0000135, 70CDCR18FR0000040, HSCEDM17J00010, HSCEMR14C00002, HSCEDM16J00012, HSCEDM15J00014, HSCEDM10P00079, HSCEDM10J00011, HSCEDM09J00017, HSCEDM08J00004, HSCEDM08J00063, HSCEOP05P00626, 70CDCR18D00000003, HSCEDM13D00002",2010-04-16,2023-08-31,2462 MAIN ST STE H,,CHULA VISTA,CA,CALIFORNIA,919114624,51,6194439192,6194439492,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ANNAMS SYSTEMS CORPORATION,869159897,"software, information, technology, adp, telecom",14,577.36 K,865.34 K,287983.8799999999,"70CTD018FR0000217, HSCETE17F00010, HSCETC15F00015, HSCETE14P00051, HSCETE17P00072, HSCETE16F00009, HSCETE16P00058, HSCETC15F00012, HSCETE15F00013, HSCETC14F00036, HSCETE08F00045, HSCEMR12F00068, HSCETE11F00029, HSCEMR10F00054",2011-04-01,2021-08-15,2613 CAMINO RAMON STE 120,,SAN RAMON,CA,CALIFORNIA,945839129,15,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MAGNET FORENSICS USA  INC.,080001807,"information, technology, software, training, education",6,573.48 K,573.48 K,0.0,"70CMSD18P00000119, 70CMSD18P00000046, 70CTD018P00000012, HSCETE17P00021, HSCETE17P00018, HSCEMD17P00026",2017-03-09,2019-08-31,"2250 CORPORATE PARK DRIVE, UNIT 2",,HERNDON,VA,VIRGINIA,201712898,11,8446387884,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
BASHEN CORPORATION,877933408.0,"support, professional:, human, resources",9,566.32 K,2.69 M,2122987.83,"HSCEMS15F00033, HSCEMS16F00017, HSCEMS16F00005, HSCEMS15F00056, HSCEMS15F00041, HSCEMS15F00020, HSCEMS15F00012, HSCEMS14F00022, HSCEMS13A00014",2015-04-16,2018-09-24,1616 S VOSS RD STE 300,,HOUSTON,TX,TEXAS,770572627,07,7137808056,7137809252,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SAWDEY SOLUTION SERVICES  INC.,020345075,"support, professional:, program, management",1,561.13 K,3.39 M,2828933.09,70CMSD18FR0000233,2018-10-22,2024-03-27,1430 OAK CT STE 304,,BEAVERCREEK,OH,OHIO,454301069,10,9374904060,9374904086,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
VERIZON COMMUNICATIONS INC.,107212169,"communications, support, professional:, telephone, ser",103,550.00 K,568.81 K,18810.780000000028,"HSCETE14F00049, HSCETC14F00042, HSCETE13F00077, HSCETE13F00067, HSCETC14F00031, HSCETE12J00447, HSCETE14F00060, HSCETE12F00095, HSCETE12J00091, HSCETE11J00609, HSCETE14F00069, HSCETE14P00041, HSCETE13F00094, HSCETE11J00087, HSCETE09J00002, HSCETE11J00255, HSCETE13F00089, HSCETE12J00264, HSCETE13F00015, HSCETE13F00062, HSCETE14F00023, HSCETE13F00007, HSCETE13F00020, HSCETE13F00092, HSCETE11J00210, HSCETE12J00084, HSCETE12F00030, HSCETE12J00214, HSCETE12F00037, HSCETE12F00046, HSCETE12F00061, HSCEMD11J00009, HSCETE08JCL035, HSCETE12F00105, HSCETE09J00116, HSCETE11J00138, HSCETE12F00021, HSCETE12F00009, HSCETE12F00026, HSCETE10J00319, HSCETE10J00255, HSCETE08JCL029, HSCETE09J00617, HSCETE08JCL044, HSCETE10J00085, HSCETE09J00003, HSCETE08JCL006, HSCETE08F00018, HSCETE10J00331, HSCETE09J00192, HSCETE08JCL002, HSCETE09J00367, HSCETE11J00588, HSCETE11F00200, HSCETE12F00121, HSCETE12F00013, HSCETE12F00014, HSCETE11J00214, HSCETE10J00175, HSCETE11J00424, HSCETE12F00016, HSCETE11J00212, HSCETE11J00412, HSCETE11J00352, HSCETE11J00047, HSCETE11J00134, HSCETE11J00110, HSCETE10J00044, HSCETE11J00084, HSCETE10J00557, HSCETE10J00001, HSCETE09J00584, HSCETE10J00088, HSCETE09J00373, HSCETE08JCL009, HSCETE09J00264, HSCETE11J00167, HSCETE11J00479, HSCETE11J00122, HSCETE11J00207, HSCETE11J00149, HSCETE10J00183, HSCETE11J00126, HSCETE11J00095, HSCETE11J00075, HSCETE11J00101, HSCETE09J00030, HSCETE09J00088, HSCETE09J00170, HSCETE11J00057, HSCETE11J00052, HSCETE08P00048, HSCETE10J00290, HSCETE09J00437, HSCETE09J00068, HSCETE08JCL032, HSCETE08JCL028, HSCETE08JCL015, HSCEOP07P01579, HSCETE08J00106, HSCETE08JCL007, HSCETE08JCL040, HSCEOP07A00027",2011-01-19,2016-01-22,180 WASHINGTON VALLEY ROAD,,BEDMINSTER,NJ,NEW JERSEY,07921,,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AXISCORE  LLC,618932227.0,"information, technology, office, supplies, components",3,549.60 K,549.60 K,0.0,"70CMSW18FR0000049, HSCEMD17F00247, HSCEMD17F00169",2017-09-19,2018-06-28,9500 ARENA DR STE 440D,,LARGO,MD,MARYLAND,207743713,04,8002947995,8665272302,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DEVA & ASSOCIATES  P.C.,789017506.0,"support, management:, financial",3,545.95 K,3.23 M,2684826.8899999997,"HSCEMS14F00017, HSCEMS13F00032, HSCEMS12A00016",2014-07-03,2017-03-24,1901 RESEARCH BLVD,,ROCKVILLE,MD,MARYLAND,208503164,08,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
AQUILA FITNESS CONSULTING SYSTEMS LTD.,969827187,"support, management:",1,527.91 K,527.91 K,0.0,HSCEMR14F00023,2018-08-22,2019-03-14,1221 BRICKELL AVE STE 1060,,MIAMI,FL,FLORIDA,331313258,27,8008068482,3053971843,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
BAE SYSTEMS AEROSPACE & DEFENSE GROUP INC.,79004032.0,"armor,, personal, safety, rescue, equipment",4,522.49 K,522.49 K,0.0,"HSCEMS12F00032, HSCEMS12F00052, HSCEMS12F00042, HSCEMD10F00214",2014-07-01,2012-11-20,7822 S 46TH ST,,PHOENIX,AZ,,850445313,AZ07,6026437294,6026437594,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
RIMAGE CORPORATION,079481120,"information, technology, components, support, equipment",6,519.26 K,519.26 K,0.0,"70CMSD18FR0000041, 70CMSD18FR0000021, HSCETE16F00061, HSCETE16F00050, HSCETE16F00003, HSCEMD11F00191",2011-09-28,2020-03-31,7725 WASHINGTON AVE S,,EDINA,MN,MINNESOTA,554392422,03,3015291015,9529464565,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ARS ALEUT CONSTRUCTION  LLC,020256798,"equipment, installation, maintenance, repair, shop",1,518.75 K,518.75 K,0.0,70CMSW18P00000016,2018-03-14,2018-06-25,"13800 COPPERMINE RD FL 1,2,3",,HERNDON,VA,VIRGINIA,201716163,11,7033999685,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
